City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Svetlaya,82,RU,1618515820,64,46.5389,138.3297,34.5,3.8
Erzin,0,TR,1618515820,74,36.9559,36.2,62.01,2.28
Pangnirtung,20,CA,1618515821,66,66.1451,-65.7125,3.2,11.5
Puerto Carreño,26,CO,1618515821,47,6.189,-67.4859,91.27,3.27
Göksun,0,TR,1618515821,71,38.021,36.4973,55.4,2.3
Khanbari,100,NP,1618515822,30,27.3747,87.2039,68.36,5.1
Vigía del Fuerte,100,CO,1618515822,87,6.5789,-76.8863,83.05,2.53
Dekar,5,BW,1618515823,27,-21.5333,21.9333,70.18,5.41
Beyneu,32,KZ,1618515823,32,45.3167,55.2,61.79,2.06
Puerto Ayora,75,EC,1618515823,89,-0.7393,-90.3518,80.01,8.05
Sena Madureira,99,BR,1618515823,79,-9.0656,-68.6569,81.57,3.04
Mahibadhoo,95,MV,1618515824,71,3.7833,72.9667,83.05,9.82
Nome,1,US,1618515641,93,64.5011,-165.4064,21.99,4.61
Havelock,90,US,1618515824,64,34.8791,-76.9013,72.0,11.5
Luangwa,86,ZM,1618515825,65,-15.6167,30.4167,69.1,0.27
Namli,1,IN,1618515825,21,23.4333,75.05,83.1,13.35
Safaga,0,EG,1618515825,21,26.7292,33.9365,78.8,11.5
Sinnamary,97,GF,1618515826,83,5.3833,-52.95,80.01,15.21
Chara,6,RU,1618515826,72,56.9064,118.2631,9.1,2.06
Sitka,75,US,1618515653,87,57.0531,-135.33,42.8,3.44
Shwebo,100,MM,1618515826,27,22.5667,95.7,86.32,3.33
Nhulunbuy,64,AU,1618515827,88,-12.2333,136.7667,75.2,7.72
Petropavlovsk-Kamchatskiy,90,RU,1618515827,100,53.0452,158.6483,32.0,4.47
Aksarka,16,RU,1618515827,75,66.5606,67.7975,8.04,17.02
Şebinkarahisar,48,TR,1618515828,69,40.2883,38.4236,45.52,4.18
Arrondissement de Lannion,20,FR,1618515828,70,48.75,-3.4167,44.6,6.91
Rio Grande,75,BR,1618515828,88,-32.035,-52.0986,69.8,1.81
Port-Cartier,20,CA,1618515829,46,50.0334,-66.8654,46.99,16.11
Talara,40,PE,1618515829,54,-4.5772,-81.2719,86.0,16.11
Altay,0,CN,1618515707,39,47.8667,88.1167,42.51,6.49
Jackson,1,US,1618515830,27,42.4165,-122.8345,66.99,2.98
Marystown,100,CA,1618515672,71,47.1666,-55.1483,39.67,20.0
La Rioja,0,ES,1618515830,43,42.25,-2.5,50.0,4.61
Makkah al Mukarramah,100,SA,1618515582,44,21.4267,39.8261,82.51,2.19
Mossamedes,8,AO,1618515798,81,-15.1961,12.1522,80.44,8.1
Tambopata,20,PE,1618515831,55,-12.7333,-69.1833,91.4,3.44
Tartagal,70,AR,1618515633,68,-22.5164,-63.8013,78.4,3.65
Zirgan,0,RU,1618515831,78,53.2222,55.9185,46.24,3.13
Moyale,50,KE,1618515832,73,3.5167,39.0584,69.91,4.63
Umluj,0,SA,1618515832,42,25.0213,37.2685,78.64,6.26
Oranjestad,75,AW,1618515833,74,12.524,-70.027,86.0,21.85
Río Gallegos,0,AR,1618515833,25,-51.6226,-69.2181,62.6,18.41
Turukhansk,100,RU,1618515833,89,65.8167,87.9833,12.72,20.89
Arroio Grande,100,BR,1618515834,83,-32.2375,-53.0869,70.0,4.9
Mergen,100,CN,1618515834,97,49.1833,125.2167,33.26,16.08
Saint-Joseph,0,RE,1618515834,78,-21.3667,55.6167,77.0,5.75
Qasigiannguit,75,GL,1618515835,67,68.8193,-51.1922,12.2,9.22
Bereket,13,TM,1618515835,39,39.2446,55.5154,68.36,7.23
Bex,75,CH,1618515835,61,46.2521,7.0114,42.8,5.75
Chauk,93,MM,1618515836,56,20.8833,94.8167,84.79,8.23
Hannibal,75,US,1618515836,41,39.7084,-91.3585,55.4,10.36
Alamogordo,1,US,1618515544,14,32.8995,-105.9603,77.0,12.66
Ciudad Bolivar,99,VE,1618515837,39,8.1222,-63.5497,93.78,3.44
Sheridan,90,US,1618515777,75,44.8333,-106.9173,35.6,8.05
Fort Saint James,100,CA,1618515837,89,54.4333,-124.25,44.46,3.06
Córdoba,0,AR,1618515722,44,-31.4135,-64.1811,80.6,6.91
Namatanai,94,PG,1618515838,79,-3.6667,152.4333,78.84,3.87
Severo-Kuril'sk,35,RU,1618515838,67,50.6789,156.125,28.63,17.52
Udachny,100,RU,1618515838,95,66.4167,112.4,14.47,8.95
Colón,100,PA,1618515839,100,9.3592,-79.9014,81.0,13.0
Øksfjord,40,NO,1618515839,81,70.2396,22.3479,39.2,23.02
Arman',100,RU,1618515839,90,59.7,150.1667,19.44,5.59
Jalu,96,LY,1618515840,18,29.0331,21.5482,77.36,9.62
Inírida,99,CO,1618515560,80,3.8653,-67.9239,81.39,2.98
Rock Sound,5,BS,1618515840,65,24.9,-76.2,72.52,7.7
Alta Floresta,40,BR,1618515840,58,-9.8756,-56.0861,89.6,3.44
Ixtapa,1,MX,1618515841,65,20.7,-105.2,80.6,10.36
Paita,40,PE,1618515841,54,-5.0892,-81.1144,86.0,16.11
Terney,100,RU,1618515714,67,45.0503,136.6092,36.57,2.3
Ishigaki,40,JP,1618515841,86,24.3448,124.1572,74.23,11.14
Raja,49,SS,1618515842,11,8.4596,25.678,81.99,3.11
Oktyabr'skiy,42,RU,1618515842,60,54.4815,53.471,51.89,3.89
Ust-Tsilma,96,RU,1618515842,88,65.441,52.1498,29.41,3.85
Etchojoa,97,MX,1618515843,29,26.9167,-109.6333,91.99,13.78
Canto do Buriti,100,BR,1618515843,31,-8.11,-42.9444,91.51,6.93
São João da Barra,40,BR,1618515843,57,-21.6403,-41.0511,78.8,10.36
Kismayo,85,SO,1618515738,77,-0.3582,42.5454,83.03,11.92
Castlegar,0,CA,1618515594,29,49.2998,-117.6689,60.8,5.75
Dingle,100,PH,1618515844,89,10.9995,122.6711,76.32,5.06
Rundu,90,NA,1618515844,35,-17.9333,19.7667,68.7,6.49
Faya,40,SA,1618515845,48,18.3851,42.4509,66.2,11.5
La Ronge,1,CA,1618515688,34,55.1001,-105.2842,51.8,10.36
Novy Urengoy,97,RU,1618515845,90,66.0833,76.6333,3.76,16.69
Baghdad,0,IQ,1618515702,30,33.3406,44.4009,66.2,3.44
Teya,100,RU,1618515846,97,60.3778,92.6267,37.72,17.25
Spring Valley,20,US,1618515846,15,36.108,-115.245,72.0,13.8
Ucluelet,1,CA,1618515799,51,48.9329,-125.5528,62.01,3.44
Alaca,46,TR,1618515846,50,40.1683,34.8425,52.2,3.22
Yerbogachën,100,RU,1618515847,93,61.2767,108.0108,26.06,15.79
Konstantinovka,100,RU,1618515847,98,49.6167,127.9833,32.68,13.6
Marawi,100,PH,1618515847,91,7.9986,124.2928,75.99,1.99
Grand Gaube,76,MU,1618515848,86,-20.0064,57.6608,78.01,5.01
Vilcún,40,CL,1618515848,77,-38.65,-72.2333,64.4,8.05
Oytal,3,KZ,1618515848,55,42.9057,73.2697,55.09,4.65
Camp Verde,9,US,1618515849,17,34.5636,-111.8543,73.0,4.0
Sarnen,90,CH,1618515849,45,46.8985,8.2507,42.8,8.05
Port Lincoln,10,AU,1618515596,83,-34.7333,135.8667,57.99,5.17
Iquique,0,CL,1618515612,56,-20.2208,-70.1431,69.8,13.8
Kiama,59,AU,1618515850,54,-34.6833,150.8667,60.01,10.36
Sattahip,20,TH,1618515850,83,12.6664,100.9007,88.0,6.91
Norcasia,99,CO,1618515850,56,5.5778,-74.8852,87.1,3.56
Bowen,40,AU,1618515851,88,-20.0167,148.2333,68.0,5.75
Poum,92,NC,1618515851,80,-20.2333,164.0167,78.39,4.81
Cadillac,90,US,1618515676,93,44.2519,-85.4012,37.4,13.8
Fuxin,11,CN,1618515851,41,42.0156,121.6589,44.44,15.9
Harlingen,90,US,1618515792,70,26.1906,-97.6961,87.8,12.66
Luanda,40,AO,1618515810,78,-8.8368,13.2343,82.4,4.61
Dzaoudzi,15,YT,1618515852,89,-12.7887,45.2699,78.8,3.44
Kenai,40,US,1618515852,87,60.5544,-151.2583,37.4,5.75
Zapolyarnyy,20,RU,1618515615,93,69.4154,30.8136,32.0,5.75
Oudtshoorn,90,ZA,1618515853,100,-33.5907,22.2014,60.8,3.44
Yangi Marg`ilon,100,UZ,1618515629,51,40.4272,71.7189,60.8,2.3
Gizo Government Station,89,SB,1618515853,77,-8.103,156.8419,82.27,7.38
Zhigansk,98,RU,1618515854,96,66.7697,123.3711,12.43,8.61
Itaqui,43,BR,1618515854,61,-29.1253,-56.5531,81.43,8.59
Kasulu,40,TZ,1618515621,94,-4.5767,30.1025,73.4,1.23
Pacific Grove,1,US,1618515855,63,36.6177,-121.9166,59.0,8.05
Ormara,8,PK,1618515855,83,25.2088,64.6357,80.11,6.67
Heihe,40,CN,1618515855,51,50.2441,127.4902,33.8,8.95
Lamar,1,US,1618515856,52,33.6668,-95.5836,68.0,13.8
Laudio-Llodio,0,ES,1618515856,57,43.1432,-2.962,51.01,3.44
Perth,0,AU,1618515650,87,-31.9333,115.8333,60.01,4.61
Bonavista,100,CA,1618515856,80,48.6499,-53.1147,33.8,4.61
Nivala,3,FI,1618515857,84,63.9167,24.9667,30.06,2.84
Lamlash,20,GB,1618515857,81,55.5336,-5.1296,46.4,5.75
Halifax,20,CA,1618515597,70,44.6453,-63.5724,51.01,12.66
Cascais,20,PT,1618515858,88,38.6979,-9.4215,64.0,9.22
Marsá Maţrūḩ,0,EG,1618515858,59,31.3525,27.2453,66.2,9.22
Coos Bay,1,US,1618515858,58,43.3665,-124.2179,72.0,9.22
Smithers,1,CA,1618515821,38,54.7804,-127.1743,55.4,4.61
Kampot,40,KH,1618515859,89,10.6167,104.1833,78.8,1.14
Yoichi,100,JP,1618515859,41,43.2039,140.7703,35.01,8.12
Yulara,90,AU,1618515614,88,-25.2406,130.9889,60.8,5.75
Jiexiu,3,CN,1618515860,23,37.0244,111.9125,46.29,5.59
Tabou,65,CI,1618515860,78,4.423,-7.3528,81.81,8.12
Caldwell,1,US,1618515860,28,43.6629,-116.6874,59.0,8.05
Fairbanks,40,US,1618515849,65,64.8378,-147.7164,42.8,1.41
Caravelas,98,BR,1618515861,59,-17.7125,-39.2481,77.63,10.51
Laredo,90,US,1618515750,62,27.5064,-99.5075,87.8,12.66
Coyhaique,75,CL,1618515861,58,-45.5752,-72.0662,55.4,3.44
North Bend,1,US,1618515862,58,43.4065,-124.2243,72.0,9.22
Umm Kaddadah,17,SD,1618515862,5,13.6017,26.6876,77.41,12.46
Belmopan,40,BZ,1618515862,44,17.25,-88.7667,96.8,6.91
Tomatlán,0,MX,1618515863,28,19.9333,-105.25,93.02,12.19
Zhezkazgan,0,KZ,1618515863,45,47.8043,67.7144,52.95,12.28
Fort Abbas,83,PK,1618515863,39,29.1925,72.8536,79.38,16.44
Poroszló,90,HU,1618515864,81,47.65,20.6667,41.0,4.61
Avera,75,US,1618515864,60,33.194,-82.5271,73.4,13.8
Bonoua,20,CI,1618515864,79,5.2741,-3.595,84.2,10.36
Buchanan,20,LR,1618515865,83,5.8808,-10.0467,82.4,5.75
Bay Roberts,100,CA,1618515865,85,47.5999,-53.2648,35.01,11.01
Registro,96,BR,1618515865,81,-24.4875,-47.8436,72.18,2.75
Manzhouli,100,CN,1618515866,47,49.6,117.4333,31.55,15.03
Clarence Town,6,AU,1618515866,77,-32.5833,151.7833,60.01,6.91
Saint-Pierre,0,RE,1618515866,78,-21.3393,55.4781,77.0,5.75
Cockburn Town,20,TC,1618515670,53,21.4612,-71.1419,78.8,6.91
Ubari,100,LY,1618515867,11,26.5921,12.7805,89.49,12.39
Evensk,100,RU,1618515868,95,61.95,159.2333,22.23,3.94
Salihli,60,TR,1618515736,70,38.4826,28.1477,59.0,3.2
