City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Nhulunbuy,75,AU,1618716581,58,-12.2333,136.7667,87.8,18.41
Linqiong,40,CN,1618716582,94,30.4159,103.4609,64.99,6.71
Naryan-Mar,37,RU,1618716582,91,67.6713,53.087,13.66,7.0
Taltal,6,CL,1618716582,80,-25.4,-70.4833,63.7,3.49
Bizhbulyak,0,RU,1618716583,61,53.6967,54.2642,42.53,10.04
Yichang,100,CN,1618716583,81,30.7144,111.2847,58.14,2.8
Matamoros,0,MX,1618716583,51,25.5333,-103.25,68.0,10.0
Gladstone,75,AU,1618716584,50,-23.85,151.25,80.6,6.91
Severobaykal'sk,1,RU,1618716584,52,55.65,109.3167,24.91,9.26
Garoowe,1,SO,1618716585,85,8.4054,48.4845,72.86,6.24
Jilin,7,CN,1618716585,37,43.0,126.0,52.56,9.1
Prome,3,MM,1618716585,44,18.8167,95.2167,90.57,4.61
Quelimane,75,MZ,1618716586,73,-17.8786,36.8883,73.4,9.22
Porto Empedocle,22,IT,1618716586,88,37.2934,13.5264,46.99,5.77
Moanda,100,GA,1618716586,98,-1.5575,13.2178,68.11,0.74
Bahía Blanca,100,AR,1618716587,80,-38.7196,-62.2724,68.02,4.14
Korla,94,CN,1618716587,16,41.7597,86.1469,67.78,13.94
Harper,99,LR,1618716587,84,4.375,-7.7169,77.88,3.47
College,1,US,1618716481,35,64.8569,-147.8028,55.4,2.21
Laas,0,IT,1618716588,74,46.6166,10.7002,37.0,5.75
Maragogi,92,BR,1618716588,83,-9.0122,-35.2225,76.21,2.68
Newport,100,GB,1618716588,80,51.5877,-2.9984,37.0,1.99
Porto Ferreira,0,BR,1618716589,83,-21.8539,-47.4792,68.0,1.14
Lavrentiya,58,RU,1618716507,89,65.5833,-171.0,31.55,7.58
Oloron-Sainte-Marie,90,FR,1618716589,87,43.1944,-0.6107,41.0,1.83
La Reforma,58,MX,1618716589,54,18.1,-91.0167,85.77,6.4
Buchanan,99,LR,1618716590,86,5.8808,-10.0467,74.98,3.51
Gornopravdinsk,100,RU,1618716523,76,60.05,69.9,16.29,15.14
Ponta Delgada,75,PT,1618716590,94,37.7333,-25.6667,62.6,9.22
Talnakh,38,RU,1618716589,88,69.4865,88.3972,-10.05,2.33
Slave Lake,90,CA,1618716591,93,55.2834,-114.769,39.2,3.44
Yulara,0,AU,1618716591,28,-25.2406,130.9889,71.6,14.97
Bukachacha,98,RU,1618716591,35,52.9833,116.9167,52.43,12.1
Moctezuma,0,MX,1618716592,17,29.8,-109.6667,68.88,8.77
Zonguldak,100,TR,1618716592,93,41.25,31.8333,47.79,4.09
San Francisco,20,US,1618716075,67,37.7749,-122.4194,59.0,17.27
Banjar,20,ID,1618716593,74,-8.19,114.9675,87.8,8.05
La Seyne-sur-Mer,100,FR,1618716467,73,43.0982,5.8847,46.0,4.0
Ngunguru,100,NZ,1618716593,75,-35.6167,174.5,64.0,1.99
Katsuura,20,JP,1618716594,32,35.1333,140.3,68.0,23.02
Turtas,100,RU,1618716594,87,58.9417,69.1325,25.0,16.44
Béboto,100,TD,1618716366,46,8.2668,16.939,82.27,6.17
Makkah al Mukarramah,81,SA,1618716552,42,21.4267,39.8261,81.19,10.4
Baykit,100,RU,1618716595,89,61.67,96.37,22.68,7.29
Maryborough,82,AU,1618716595,64,-25.5333,152.7,78.01,4.0
Alofi,6,NU,1618716595,69,-19.0595,-169.9187,82.4,6.91
Wenzhou,68,CN,1618716595,45,27.9994,120.6668,65.55,4.59
San Quintín,0,MX,1618716596,81,30.4833,-115.95,57.45,10.36
Shostka,100,UA,1618716596,85,51.863,33.4698,40.78,5.37
Sioux Lookout,20,CA,1618716597,52,50.1001,-91.917,37.4,2.3
Iracoubo,91,GF,1618716597,76,5.4802,-53.2011,78.21,12.88
Visnes,40,NO,1618716597,87,59.3556,5.2242,35.6,4.61
Bergen,0,NO,1618716598,81,60.392,5.328,42.01,6.55
Mattru,95,SL,1618716598,90,7.6244,-11.8332,75.78,2.68
Calderitas,16,MX,1618716598,89,18.55,-88.25,82.99,4.0
Auki,100,SB,1618716599,71,-8.7676,160.7034,84.18,1.7
Progreso,40,MX,1618716599,62,21.2833,-89.6667,86.0,4.61
Barcelos,0,PT,1618716599,71,41.5388,-8.6151,53.01,5.75
Puerto Carreño,74,CO,1618716600,70,6.189,-67.4859,81.18,3.24
Salalah,0,OM,1618716443,50,17.0151,54.0924,77.0,3.44
Bara,89,NG,1618716600,74,10.3744,10.7288,76.37,6.93
Benguela,2,AO,1618716600,73,-12.5763,13.4055,79.11,3.51
Chennai,40,IN,1618716601,70,13.0878,80.2785,86.0,6.91
Mmabatho,0,ZA,1618716601,93,-25.85,25.6333,50.0,8.05
Xining,8,CN,1618716602,25,36.6167,101.7667,54.57,2.24
Houndé,100,BF,1618716602,53,11.5,-3.5167,82.38,6.58
Haapiti,20,PF,1618716602,70,-17.5667,-149.8667,84.2,9.22
Kachug,3,RU,1618716603,40,53.9606,105.8817,30.99,6.55
La Sarre,100,CA,1618716603,95,48.8002,-79.1996,37.51,5.39
Alamosa,1,US,1618716603,80,37.4695,-105.87,26.6,4.61
Cerrito,75,CO,1618716604,100,6.8432,-72.694,68.0,5.75
Homer,1,US,1618716604,50,59.6425,-151.5483,50.0,4.61
Bagan,100,RU,1618716605,58,54.1001,77.6646,43.57,13.2
Kuruman,2,ZA,1618716605,78,-27.4524,23.4325,55.26,5.35
Longmont,40,US,1618716601,48,40.1672,-105.1019,39.2,4.61
Tjøme,69,NO,1618716605,65,59.1109,10.3933,44.01,6.91
Mareeba,75,AU,1618716606,78,-17.0,145.4333,81.0,11.5
Yumen,100,CN,1618716606,9,40.2833,97.2,61.79,3.62
Bibiani,98,GH,1618716607,97,6.4635,-2.3194,71.31,0.58
Russell,75,US,1618716607,88,32.3502,-85.1999,66.2,3.62
Wawa,100,NG,1618716607,57,9.9022,4.4192,81.54,4.54
Saurimo,41,AO,1618716608,97,-9.6608,20.3916,61.97,4.38
Marathon,90,US,1618716608,30,44.9,-89.7668,51.8,5.75
San Julián,0,MX,1618716608,13,21.0167,-102.1667,65.82,14.09
Ningxiang,96,CN,1618716609,18,37.34,111.2052,62.42,7.63
Gezing,75,AT,1618716609,93,47.9178,13.1299,39.2,1.14
Cascais,100,PT,1618716609,73,38.6979,-9.4215,57.99,4.0
Benidorm,50,ES,1618716610,79,38.5382,-0.131,53.01,1.99
Pacifica,20,US,1618716610,67,37.6138,-122.4869,55.4,17.27
Lennoxtown,100,GB,1618716610,81,55.9726,-4.2,41.0,5.75
Mospyne,99,UA,1618716611,71,47.8908,38.064,46.4,4.07
Pochutla,3,MX,1618716611,81,15.7432,-96.4661,78.01,3.0
Botlikh,99,RU,1618716611,83,42.6444,46.2297,56.82,2.13
Brainerd,1,US,1618716612,49,46.358,-94.2008,42.8,4.05
Yabrūd,0,SY,1618716612,47,33.9674,36.6574,62.01,1.5
Vrangel',87,RU,1618716613,44,42.7297,133.0839,52.52,14.16
Gushikawa,20,JP,1618716613,49,26.3544,127.8686,69.8,20.71
Bulancak,75,TR,1618716613,100,40.9372,38.2291,50.0,2.3
Rocha,79,UY,1618716614,95,-34.4833,-54.3333,59.11,3.15
Berlevåg,64,NO,1618716614,79,70.8578,29.0864,36.41,17.81
Naze,75,JP,1618716614,45,28.3667,129.4833,68.0,18.41
Batticaloa,100,LK,1618716615,69,7.7102,81.6924,83.26,3.98
Vredendal,0,ZA,1618716615,17,-31.6683,18.5012,77.23,9.57
Pangnirtung,20,CA,1618716534,84,66.1451,-65.7125,-0.4,7.96
Uşak Province,100,TR,1618716579,71,38.5,29.4167,57.65,6.98
Manzhouli,46,CN,1618716616,23,49.6,117.4333,63.45,9.15
São Gabriel da Cachoeira,99,BR,1618716616,98,-0.1303,-67.0892,72.23,0.4
Tallahassee,90,US,1618716343,100,30.4383,-84.2807,64.99,3.44
Boyuibe,31,BO,1618716616,95,-20.4167,-63.2833,65.23,3.6
Kotel'nich,11,RU,1618716617,82,58.3089,48.348,38.93,9.6
Palembang,20,ID,1618716617,83,-2.9167,104.7458,80.6,5.75
Aberystwyth,100,GB,1618716617,89,52.4155,-4.0829,34.0,4.38
Laï,100,TD,1618716618,35,9.3952,16.2989,83.57,5.03
Saint Anthony,1,US,1618716618,49,45.0205,-93.218,50.0,3.31
Husavik,0,IS,1618716618,100,66.0449,-17.3389,35.6,4.61
Kumbo,100,CM,1618716619,92,6.2,10.6667,62.17,2.44
Lianyuan,100,CN,1618716619,93,27.6883,111.6642,58.41,4.92
Meulaboh,79,ID,1618716619,66,4.1363,96.1285,85.26,1.39
Gastonia,75,US,1618716356,54,35.2621,-81.1873,57.99,4.61
Marabu,40,MY,1618716620,74,4.4148,114.0089,86.0,5.75
Dawei,82,MM,1618716620,71,14.0833,98.2,83.91,3.78
Shirokiy,1,RU,1618716621,44,49.758,129.523,52.41,6.53
San Carlos,77,VE,1618716533,65,9.6612,-68.5827,80.6,3.89
New London,90,US,1618716621,66,41.4834,-72.0662,46.4,4.61
Taoudenni,0,ML,1618716622,19,22.6783,-3.9836,76.44,13.09
Fes,0,MA,1618716608,93,34.0372,-4.9998,50.0,8.05
Lamar,1,US,1618716622,76,33.6668,-95.5836,48.2,3.44
Esim,100,GH,1618716622,82,4.8699,-2.2405,79.83,5.23
Port Macquarie,36,AU,1618716623,67,-31.4333,152.9167,72.0,1.99
Soyo,100,AO,1618716623,86,-6.1349,12.3689,78.69,3.62
Bitung,20,ID,1618716623,52,1.4451,125.1824,91.4,11.5
Dobryanka,0,RU,1618716624,56,58.4619,56.4165,41.0,8.95
Pedernales,1,DO,1618716624,74,18.0384,-71.744,78.98,6.55
Kaura Namoda,94,NG,1618716624,13,12.5898,6.5779,83.19,8.43
San Patricio,90,US,1618716625,72,28.017,-97.5169,62.6,6.91
Deputatsky,100,RU,1618716625,83,69.3,139.9,16.88,19.48
San Cristobal,75,VE,1618716625,54,7.7669,-72.225,84.2,16.11
Vryburg,79,ZA,1618716626,78,-26.9566,24.7284,54.5,5.32
Pangai,16,TO,1618716626,69,-19.8,-174.35,77.92,9.37
Kununurra,78,AU,1618716626,26,-15.7667,128.7333,86.0,11.5
Los Llanos de Aridane,40,ES,1618716627,68,28.6585,-17.9182,66.2,11.5
Kenai,1,US,1618716519,40,60.5544,-151.2583,53.6,11.5
Stromness,100,GB,1618716627,87,58.965,-3.296,42.8,18.41
Dalvik,0,IS,1618716628,100,65.9702,-18.5286,35.6,4.61
Sakon Nakhon,0,TH,1618716628,51,17.1612,104.1472,86.0,6.91
Trofors,67,NO,1618716628,81,65.5333,13.4063,37.4,4.61
Ixtapa,0,MX,1618716629,71,20.7,-105.2,66.43,2.8
Seoul,20,KR,1618716460,41,37.5683,126.9778,57.2,9.22
Kalmar,38,SE,1618716629,87,56.6616,16.3616,41.0,9.22
Barra Patuca,45,HN,1618716629,82,15.8,-84.2833,80.2,14.14
Salina Cruz,1,MX,1618716630,66,16.1667,-95.2,80.89,12.03
Döbeln,100,DE,1618716630,93,51.1167,13.1167,41.0,2.08
Pastos Bons,100,BR,1618716631,89,-6.6017,-44.0767,72.61,0.81
Apollonia,100,GR,1618716631,72,36.9716,24.7231,66.2,6.91
Concepción,90,CL,1618716344,94,-36.827,-73.0498,55.4,4.61
Hamilton,1,US,1618716443,81,39.1834,-84.5333,46.99,3.44
Kendallville,1,US,1618716466,65,41.4414,-85.265,45.0,6.04
Bīdar,69,IN,1618716632,25,17.9,77.55,91.42,8.05
Kilindoni,80,TZ,1618716632,83,-7.9139,39.6668,78.82,23.82
Hualmay,74,PE,1618716632,88,-11.0964,-77.6139,67.28,6.46
Agüimes,40,ES,1618716633,68,27.9054,-15.4461,66.2,14.97
Methóni,100,GR,1618716633,88,36.8197,21.7049,63.0,2.3
The Valley,20,AI,1618716633,83,18.217,-63.0578,80.6,5.75
Buraidah,20,SA,1618716557,63,26.326,43.975,64.4,3.44
São Luiz Gonzaga,65,BR,1618716634,88,-28.4083,-54.9608,63.43,8.61
Rosita,70,NI,1618716634,98,13.9268,-84.4032,73.38,0.92
Leningradskiy,100,RU,1618716634,81,69.3833,178.4167,35.04,7.65
Vila,100,PT,1618716447,86,42.0304,-8.1588,42.01,1.99
Katangli,91,RU,1618716635,95,51.7102,143.2326,35.15,7.85
St. George's,20,GD,1618716635,78,12.0564,-61.7485,80.6,20.71
Chicama,77,PE,1618716635,80,-7.8447,-79.1469,69.24,4.94
Calama,0,CL,1618716636,31,-22.4667,-68.9333,46.4,16.11
Alugan,100,PH,1618716636,93,12.2188,125.4808,77.07,29.62
